"cd_sig";"code_10km";"cd_nom";"lb_nom";"annee";"nombre de données dans la maille";"fournisseurs des données";"wkt_geom_4326"
"10kmL93E023N683";"E023N683";60630;"Lutra lutra";2004;2;"Groupe Mammalogique Breton (GMB)";"MULTIPOLYGON(((-3.35678298625005 48.3999356391418,-3.36766624857335 48.4896068045556,-3.23275209708534 48.496776839461,-3.22209748776358 48.4070939395033,-3.35678298625005 48.3999356391418)))"
"10kmL93E023N684";"E023N684";60630;"Lutra lutra";2004;8;"Groupe Mammalogique Breton (GMB)";"MULTIPOLYGON(((-3.36766624857335 48.4896068045556,-3.3785867594065 48.5792706618567,-3.24344318232253 48.5864524532168,-3.23275209708534 48.496776839461,-3.36766624857335 48.4896068045556)))"
"10kmL93E023N685";"E023N685";60630;"Lutra lutra";2004;7;"Groupe Mammalogique Breton (GMB)";"MULTIPOLYGON(((-3.3785867594065 48.5792706618567,-3.38954470988472 48.6689269796875,-3.25417093071458 48.6761205495003,-3.24344318232253 48.5864524532168,-3.3785867594065 48.5792706618567)))"
"10kmL93E023N686";"E023N686";60630;"Lutra lutra";2004;6;"Groupe Mammalogique Breton (GMB)";"MULTIPOLYGON(((-3.38954470988472 48.6689269796875,-3.40054029245032 48.7585755263636,-3.26493553078189 48.765780896715,-3.25417093071458 48.6761205495003,-3.38954470988472 48.6689269796875)))"
"10kmL93E023N687";"E023N687";60630;"Lutra lutra";2004;1;"Groupe Mammalogique Breton (GMB)";"MULTIPOLYGON(((-3.40054029245032 48.7585755263636,-3.41157370086379 48.8482160698748,-3.27573717233685 48.8554332629393,-3.26493553078189 48.765780896715,-3.40054029245032 48.7585755263636)))"
"10kmL93E024N682";"E024N682";60630;"Lutra lutra";2004;1;"Groupe Mammalogique Breton (GMB)";"MULTIPOLYGON(((-3.21147916838802 48.3174039842872,-3.22209748776358 48.4070939395033,-3.08737569954073 48.4140992038574,-3.07698544915034 48.3243977845751,-3.21147916838802 48.3174039842872)))"
"10kmL93E024N683";"E024N683";60630;"Lutra lutra";2004;9;"Groupe Mammalogique Breton (GMB)";"MULTIPOLYGON(((-3.22209748776358 48.4070939395033,-3.23275209708534 48.496776839461,-3.09780146989348 48.5037935892541,-3.08737569954073 48.4140992038574,-3.22209748776358 48.4070939395033)))"
"10kmL93E024N684";"E024N684";60630;"Lutra lutra";2004;14;"Groupe Mammalogique Breton (GMB)";"MULTIPOLYGON(((-3.23275209708534 48.496776839461,-3.24344318232253 48.5864524532168,-3.10826294229711 48.5934807099065,-3.09780146989348 48.5037935892541,-3.23275209708534 48.496776839461)))"
"10kmL93E024N685";"E024N685";60630;"Lutra lutra";2004;14;"Groupe Mammalogique Breton (GMB)";"MULTIPOLYGON(((-3.24344318232253 48.5864524532168,-3.25417093071458 48.6761205495003,-3.11876030008438 48.6831603346296,-3.10826294229711 48.5934807099065,-3.24344318232253 48.5864524532168)))"
"10kmL93E024N686";"E024N686";60630;"Lutra lutra";2004;5;"Groupe Mammalogique Breton (GMB)";"MULTIPOLYGON(((-3.25417093071458 48.6761205495003,-3.26493553078189 48.765780896715,-3.12929372784289 48.7728322319132,-3.11876030008438 48.6831603346296,-3.25417093071458 48.6761205495003)))"
"10kmL93E024N687";"E024N687";60630;"Lutra lutra";2004;3;"Groupe Mammalogique Breton (GMB)";"MULTIPOLYGON(((-3.26493553078189 48.765780896715,-3.27573717233685 48.8554332629393,-3.13986341142583 48.8624961699222,-3.12929372784289 48.7728322319132,-3.26493553078189 48.765780896715)))"
"10kmL93E025N675";"E025N675";60630;"Lutra lutra";2004;1;"Groupe Mammalogique Breton (GMB)";"MULTIPOLYGON(((-3.00523321640052 47.6963102240526,-3.01537982320164 47.786054444062,-2.88220428320181 47.7928285418891,-2.87228063452672 47.7030732508421,-3.00523321640052 47.6963102240526)))"
"10kmL93E025N676";"E025N676";60630;"Lutra lutra";2004;1;"Groupe Mammalogique Breton (GMB)";"MULTIPOLYGON(((-3.01537982320164 47.786054444062,-3.02556070931319 47.8757932369953,-2.89216146649667 47.8825784262158,-2.88220428320181 47.7928285418891,-3.01537982320164 47.786054444062)))"
"10kmL93E025N677";"E025N677";60630;"Lutra lutra";2004;3;"Groupe Mammalogique Breton (GMB)";"MULTIPOLYGON(((-3.02556070931319 47.8757932369953,-3.03577604840277 47.9655263742997,-2.90215235436416 47.972322675348,-2.89216146649667 47.8825784262158,-3.02556070931319 47.8757932369953)))"
"10kmL93E025N683";"E025N683";60630;"Lutra lutra";2004;5;"Groupe Mammalogique Breton (GMB)";"MULTIPOLYGON(((-3.08737569954073 48.4140992038574,-3.09780146989348 48.5037935892541,-2.9628151408583 48.5106569948844,-2.95261839156136 48.4209513733638,-3.08737569954073 48.4140992038574)))"
"10kmL93E025N685";"E025N685";60630;"Lutra lutra";2004;1;"Groupe Mammalogique Breton (GMB)";"MULTIPOLYGON(((-3.10826294229711 48.5934807099065,-3.11876030008438 48.6831603346296,-2.98331359969406 48.6900462756009,-2.97304681709737 48.6003553726638,-3.10826294229711 48.5934807099065)))"
"10kmL93E026N676";"E026N676";60630;"Lutra lutra";2004;1;"Groupe Mammalogique Breton (GMB)";"MULTIPOLYGON(((-2.88220428320181 47.7928285418891,-2.89216146649667 47.8825784262158,-2.75872851929877 47.8892119506702,-2.74899520877187 47.7994512213302,-2.88220428320181 47.7928285418891)))"
"10kmL93E026N678";"E026N678";60630;"Lutra lutra";2004;2;"Groupe Mammalogique Breton (GMB)";"MULTIPOLYGON(((-2.90215235436416 47.972322675348,-2.91217711790537 48.0620610604807,-2.77829417276174 48.0687163350122,-2.76849478484471 47.9789670648067,-2.90215235436416 47.972322675348)))"
"10kmL93E026N681";"E026N681";60630;"Lutra lutra";2004;1;"Groupe Mammalogique Breton (GMB)";"MULTIPOLYGON(((-2.93232896221247 48.2415193218752,-2.94245639100924 48.3312387388777,-2.80789276131231 48.337926789826,-2.79799299079179 48.2481964270723,-2.93232896221247 48.2415193218752)))"
"10kmL93E027N674";"E027N674";60630;"Lutra lutra";2004;1;"Groupe Mammalogique Breton (GMB)";"MULTIPOLYGON(((-2.72962678897526 47.6199138302961,-2.73929468703551 47.7096851051837,-2.60627611605222 47.7161457323444,-2.59683076680938 47.6263638978839,-2.72962678897526 47.6199138302961)))"
"10kmL93E027N675";"E027N675";60630;"Lutra lutra";2004;1;"Groupe Mammalogique Breton (GMB)";"MULTIPOLYGON(((-2.73929468703551 47.7096851051837,-2.74899520877187 47.7994512213302,-2.61575334573699 47.8059224274596,-2.60627611605222 47.7161457323444,-2.73929468703551 47.7096851051837)))"
"10kmL93E027N676";"E027N676";60630;"Lutra lutra";2004;2;"Groupe Mammalogique Breton (GMB)";"MULTIPOLYGON(((-2.74899520877187 47.7994512213302,-2.75872851929877 47.8892119506702,-2.62526261726897 47.895693755239,-2.61575334573699 47.8059224274596,-2.74899520877187 47.7994512213302)))"
"10kmL93E027N677";"E027N677";60630;"Lutra lutra";2004;2;"Groupe Mammalogique Breton (GMB)";"MULTIPOLYGON(((-2.75872851929877 47.8892119506702,-2.76849478484471 47.9789670648067,-2.63480409314291 47.9854594873611,-2.62526261726897 47.895693755239,-2.75872851929877 47.8892119506702)))"
"10kmL93E028N673";"E028N673";60630;"Lutra lutra";2004;1;"Groupe Mammalogique Breton (GMB)";"MULTIPOLYGON(((-2.58741713768366 47.536577151737,-2.59683076680938 47.6263638978839,-2.46400302470516 47.6326629306703,-2.45481136409937 47.5428658897082,-2.58741713768366 47.536577151737)))"
"10kmL93E028N674";"E028N674";60630;"Lutra lutra";2004;1;"Groupe Mammalogique Breton (GMB)";"MULTIPOLYGON(((-2.59683076680938 47.6263638978839,-2.60627611605222 47.7161457323444,-2.47322566480726 47.7224550788266,-2.46400302470516 47.6326629306703,-2.59683076680938 47.6263638978839)))"
"10kmL93E028N675";"E028N675";60630;"Lutra lutra";2004;4;"Groupe Mammalogique Breton (GMB)";"MULTIPOLYGON(((-2.60627611605222 47.7161457323444,-2.61575334573699 47.8059224274596,-2.48247944103671 47.812242106591,-2.47322566480726 47.7224550788266,-2.60627611605222 47.7161457323444)))"
